impl,epsilon,seed,tvd_mean,tvd_max,js_mean,bivariate_tvd_mean,bivariate_tvd_max,downstream_acc_real,downstream_acc_synth,downstream_f1_synth,unique_rate,duplicate_rate,coverage
mst_smartnoise,0.3,0,0.04368571428571429,0.11400000000000002,0.009764678423924325,0.10935164835164837,0.32160000000000005,0.836,0.743,0.5132861517600292,0.9286,0.081,0.057971014492753624
mst_smartnoise,0.3,1,0.04385714285714286,0.16219999999999998,0.010150377069096658,0.11249670329670329,0.38920000000000005,0.836,0.752,0.588791245232963,0.902,0.0732,0.05586722767648434
mst_smartnoise,1.0,0,0.014157142857142853,0.03959999999999998,0.0020794008337606663,0.05883956043956044,0.199,0.836,0.777,0.6413493627115918,0.9028,0.1388,0.10472183263207106
mst_smartnoise,1.0,1,0.015228571428571425,0.03459999999999999,0.0021156981236757685,0.06248351648351647,0.2456,0.836,0.721,0.5113621437015632,0.898,0.1322,0.09934548854604956
mst_smartnoise,3.0,0,0.00472857142857143,0.009799999999999986,0.0003649219419778209,0.04352307692307692,0.1558,0.836,0.758,0.5565523964494873,0.9156,0.127,0.10215053763440861
mst_smartnoise,3.0,1,0.004285714285714284,0.010599999999999991,0.0003200108381188039,0.043367032967032974,0.1424,0.836,0.76,0.5466600176802593,0.9168,0.1312,0.10869565217391304
mst_private_pgm,0.3,0,0.04412857142857142,0.11560000000000002,0.010753173644657058,0.11064615384615387,0.3842,0.836,0.75,0.5971276815181518,0.8894,0.0752,0.05586722767648434
mst_private_pgm,0.3,1,0.046728571428571404,0.1672,0.012167898321716214,0.11954505494505495,0.41080000000000005,0.836,0.75,0.5463618218109236,0.5936,0.0758,0.037868162692847124
mst_private_pgm,1.0,0,0.017742857142857144,0.03620000000000002,0.003088692794851175,0.06926373626373626,0.26239999999999997,0.836,0.727,0.5726355238502252,0.5898,0.1066,0.061711079943899017
mst_private_pgm,1.0,1,0.015328571428571433,0.0432,0.0024314602785241632,0.0651912087912088,0.2188,0.836,0.734,0.5589454485160007,0.9194,0.114,0.09326788218793829
mst_private_pgm,3.0,0,0.006014285714285715,0.013799999999999995,0.0005325935641923027,0.04489010989010989,0.1446,0.836,0.767,0.5698495950493935,0.9084,0.137,0.10846189808321646
mst_private_pgm,3.0,1,0.005014285714285713,0.011999999999999986,0.000251589373179604,0.042571428571428566,0.1466,0.836,0.763,0.579099913156058,0.9096,0.1314,0.10285179990649837
mst_dpmm,0.3,0,0.037442857142857146,0.0866,0.00571462406349067,0.10892307692307693,0.42760000000000004,0.836,0.755,0.5607547846353816,0.86,0.0794,0.05726975222066386
mst_dpmm,0.3,1,0.04358571428571428,0.08259999999999999,0.008634887558784063,0.12310329670329671,0.44699999999999995,0.836,0.733,0.489013796627491,0.8626,0.0716,0.05049088359046283
mst_dpmm,1.0,0,0.015171428571428574,0.0354,0.0018088562678822684,0.06314285714285715,0.2192,0.836,0.754,0.5377191136233801,0.9052,0.1244,0.0986442262739598
mst_dpmm,1.0,1,0.014971428571428561,0.0298,0.00162293959163744,0.06386373626373627,0.2404,0.836,0.754,0.5377191136233801,0.9072,0.122,0.09724170172978028
mst_dpmm,3.0,0,0.0057999999999999935,0.012800000000000002,0.0004332898403796572,0.04475604395604397,0.15239999999999998,0.836,0.766,0.5966184907325685,0.9144,0.1338,0.10612435717625059
mst_dpmm,3.0,1,0.004757142857142851,0.01120000000000002,0.00028838742117692225,0.0426065934065934,0.1446,0.836,0.762,0.603713768115942,0.9142,0.1256,0.10472183263207106
